round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM
18,MEAN,0.4064,0.8636,0.549,0.5766,0.9986,0.9131,0.9995,0.6612,0.6854,0.8519
19,1,0.2899,0.9019,0.5814,0.5882,0.9996,0.9509,0.9988,0.8781,0.975,0.8889
19,2,0.3512,0.8877,0.9213,0.6404,1,0.9601,1,0.7577,0.6667,0.8854
19,3,0.3637,0.8705,0.0566,0.7132,0.9996,0.9605,0.9998,0.7352,0.9657,0.877
19,4,0.4108,0.8937,0.972,0.6608,1,0.9544,0.9992,0.0906,0.7654,0.9058
19,5,0.1352,0.954,0.1034,0.7131,0.9993,0.9557,0.9989,0.8654,0.1176,0.7321
19,6,0.3083,0.8974,0.7281,0.7033,0.9995,0.9507,0.999,0.4771,0.9343,0.8663
19,7,0.4468,0.8459,0.6249,0.6827,1,0.9617,1,0.8355,0.9615,0.8715
19,8,0.413,0.8376,0.4498,0.6995,0.9992,0.9568,0.9992,0.749,0.4593,0.8525
19,9,0.3243,0.9211,0.9434,0.08,0.9996,0.9594,1,0.5523,0.8692,0.899
19,10,0.4012,0.8386,0.558,0.687,0.9899,0.9591,0.9997,0.8557,0.2561,0.8789
19,MEAN,0.3444,0.8848,0.5939,0.6168,0.9987,0.9569,0.9995,0.6797,0.6971,0.8657
20,1,0.3661,0.8701,0.5042,0.5545,0.9996,0.8485,0.9995,0.8337,0.9758,0.8793
20,2,0.565,0.836,0.825,0.6174,1,0.8671,1,0.7487,0.6382,0.8769
20,3,0.5054,0.8498,0.0297,0.7018,0.9996,0.86,0.9994,0.7231,0.9651,0.8739
20,4,0.5575,0.8705,0.7911,0.6193,1,0.8686,1,0.109,0.7311,0.8892
20,5,0.2162,0.9305,0.0576,0.703,0.9993,0.8635,0.9992,0.8286,0.1116,0.75
20,6,0.4392,0.8826,0.4131,0.6875,0.9995,0.8532,0.9996,0.5098,0.931,0.8588
20,7,0.6476,0.7875,0.4821,0.6718,1,0.8619,1,0.7943,0.9554,0.8681
20,8,0.6272,0.7968,0.2835,0.6918,0.9992,0.8587,0.9995,0.7368,0.4138,0.8498
20,9,0.5177,0.8772,0.7223,0.0606,0.9996,0.8682,0.9855,0.6005,0.8519,0.8874
20,10,0.6097,0.7778,0.4365,0.681,0.9899,0.8633,0.9997,0.8204,0.2305,0.8797
20,MEAN,0.5052,0.8479,0.4545,0.5989,0.9987,0.8613,0.9983,0.6705,0.6804,0.8613
21,1,0.2567,0.9065,0.5909,0.7627,0.9992,0.9464,0.9992,0.8844,0.9752,0.8879
21,2,0.304,0.8943,0.9318,0.6933,1,0.9661,1,0.7852,0.6649,0.8655
21,3,0.2927,0.8984,0.0595,0.8285,0.9995,0.9684,0.9998,0.7852,0.9664,0.8676
21,4,0.3633,0.8912,0.9772,0.6907,1,0.9587,0.9997,0.1001,0.7727,0.8829
21,5,0.1129,0.9598,0.1106,0.8212,0.9992,0.9634,0.9995,0.8792,0.132,0.7647
21,6,0.2428,0.9216,0.7692,0.8088,0.9995,0.9544,0.9994,0.5676,0.9403,0.8538
21,7,0.3798,0.8655,0.6444,0.7981,1,0.9687,1,0.8571,0.9609,0.8639
21,8,0.3292,0.8732,0.4716,0.8253,0.9992,0.9634,0.9997,0.7973,0.4706,0.852
21,9,0.2981,0.9136,0.9526,0.0392,0.9996,0.9676,1,0.552,0.8784,0.8762
21,10,0.3387,0.8566,0.5774,0.7963,0.9899,0.9653,1,0.8724,0.259,0.8679
21,MEAN,0.2918,0.8981,0.6085,0.7064,0.9986,0.9622,0.9997,0.7081,0.702,0.8582
22,1,0.2327,0.9289,0.6603,0.7833,1,0.9509,0.9997,0.9157,0.9761,0.8841
22,2,0.2876,0.9023,0.9437,0.7285,1,0.9587,1,0.8207,0.6414,0.8753
22,3,0.2716,0.917,0.0797,0.8557,0.9998,0.9605,0.9998,0.8319,0.9657,0.8699
22,4,0.3433,0.9037,0.9818,0.7511,1,0.9423,1,0.1188,0.7346,0.9005
22,5,0.1005,0.9665,0.1461,0.8528,0.9998,0.9519,0.9998,0.9123,0.113,0.7321
22,6,0.2327,0.9326,0.8193,0.843,1,0.9429,0.9999,0.6254,0.9321,0.8632
22,7,0.3585,0.8889,0.7062,0.8252,1,0.9617,1,0.8896,0.9567,0.8767
22,8,0.3062,0.8917,0.5378,0.8563,0.9996,0.9507,0.9995,0.8409,0.4156,0.8437
22,9,0.2904,0.9188,0.9607,0.0541,1,0.9584,1,0.5775,0.8558,0.8927
