round,client,loss,accuracy,Normal,DDoS_UDP,DDoS_ICMP,Ransomware,DDoS_HTTP,DDoS_TCP,Vulnerability_scanner,MITM
10,8,0.1701,0.9446,0.6796,0.9354,0.9989,0.9642,0.9992,0.9458,0.4974,0.856
10,9,0.1411,0.9645,0.9679,0.0851,0.9996,0.9696,1,0.8761,0.8817,0.9706
10,10,0.1692,0.9367,0.7653,0.9312,0.98,0.9666,0.9997,0.9555,0.313,0.9155
10,MEAN,0.1529,0.9556,0.7056,0.8331,0.9972,0.966,0.9996,0.8884,0.7126,0.9002
11,1,0.3233,0.8808,0.5647,0.6538,0.9996,0.6243,0.9997,0.8738,0.9079,0.8571
11,2,0.34,0.8837,0.9247,0.6351,1,0.9652,1,0.7307,0.6733,0.8584
11,3,0.4251,0.853,0.0477,0.6844,0.9996,0.8843,0.9992,0.7125,0.9107,0.8526
11,4,0.3955,0.878,0.9584,0.6613,1,0.9558,1,0.0687,0.741,0.8865
11,5,0.1361,0.9546,0.1035,0.6517,0.9994,0.9701,0.9992,0.8563,0.1912,0.7387
11,6,0.3479,0.882,0.668,0.6625,0.9995,0.9199,0.9998,0.4481,0.877,0.8498
11,7,0.4993,0.8235,0.6046,0.6881,1,0.9137,1,0.8276,0.9075,0.8635
11,8,0.4602,0.8337,0.4311,0.6861,0.9992,0.9657,0.9995,0.7413,0.5283,0.8397
11,9,0.2997,0.9053,0.9341,0.0667,0.9996,0.9562,0.9855,0.4691,0.8386,0.8726
11,10,0.4233,0.8373,0.5546,0.6733,0.9899,0.9673,0.9997,0.85,0.2902,0.8726
11,MEAN,0.365,0.8732,0.5791,0.6063,0.9987,0.9122,0.9983,0.6578,0.6866,0.8492
12,1,0.2531,0.9191,0.6278,0.8305,0.9996,0.907,0.9993,0.9095,0.9611,0.9388
12,2,0.1968,0.924,0.9421,0.8289,1,0.9666,1,0.8342,0.6884,0.935
12,3,0.2282,0.9187,0.0653,0.8722,0.9997,0.9486,0.9998,0.8381,0.9439,0.8942
12,4,0.1832,0.9429,0.9762,0.864,1,0.9642,0.9997,0.1572,0.7967,0.9508
12,5,0.0952,0.9672,0.1355,0.8647,0.9998,0.9672,0.9998,0.9045,0.1595,0.7692
12,6,0.1699,0.9397,0.7658,0.8621,1,0.9545,0.9996,0.6617,0.9236,0.8895
12,7,0.3352,0.8858,0.6615,0.8546,1,0.9677,1,0.8856,0.9506,0.9174
12,8,0.2509,0.8991,0.5136,0.8731,0.9992,0.9647,0.9995,0.846,0.4946,0.8677
12,9,0.1675,0.9472,0.9599,0.16,1,0.9693,1,0.6651,0.8797,0.9402
12,10,0.2883,0.8847,0.6253,0.8652,0.9901,0.9683,0.9997,0.898,0.3105,0.907
12,MEAN,0.2168,0.9228,0.6273,0.7875,0.9988,0.9578,0.9998,0.76,0.7109,0.901
13,1,1.16,0.6247,0.3349,0,0.9449,0.1333,0.9756,0.6391,0.22,0
13,2,2.1243,0.5874,0.6022,0.0081,0.9196,0.7436,0.9573,0.4907,0.2135,0.0052
13,3,2.1114,0.5699,0.0099,0.0099,0.9337,0.3922,0.9424,0.4897,0.2309,0.0085
13,4,3.0869,0.4928,0.3002,0.0175,0.9407,0.7073,0.995,0.0261,0.1176,0.0097
13,5,0.797,0.8122,0.0269,0.0059,0.9299,0.7673,0.9701,0.6329,0.1154,0
13,6,1.9237,0.6576,0.1523,0.0147,0.931,0.5557,0.9868,0.2829,0.179,0.0026
13,7,2.3397,0.404,0.2761,0.0099,0.9044,0.4692,0.4748,0.5775,0.2147,0.0073
13,8,2.2614,0.5485,0.1275,0.01,0.9253,0.7501,0.9827,0.5207,0.1463,0.007
13,9,2.5939,0.5075,0.3356,0,0.9223,0.675,0.4892,0.2577,0.2263,0.0063
13,10,1.7641,0.5549,0.2623,0.0171,0.8764,0.7473,0.9856,0.6231,0.0417,0.0063
13,MEAN,2.0162,0.576,0.2428,0.0093,0.9228,0.5941,0.876,0.454,0.1705,0.0053
14,1,0.2692,0.8886,0.5923,0.6337,0.9996,0.5993,0.9992,0.9021,0.8601,0.8182
14,2,0.3083,0.8837,0.936,0.7128,1,0.963,1,0.7371,0.6464,0.8189
14,3,0.3547,0.8702,0.0583,0.7507,0.9995,0.866,0.9996,0.7567,0.8598,0.8084
14,4,0.3816,0.8641,0.9683,0.7432,1,0.9518,0.9994,0.0623,0.7296,0.8527
14,5,0.1126,0.9623,0.1229,0.7319,0.9992,0.968,0.9993,0.89,0.2097,0.72
14,6,0.2965,0.8917,0.6923,0.7382,0.9995,0.9086,0.9994,0.5023,0.8111,0.804
14,7,0.4275,0.828,0.6223,0.7388,1,0.9026,1,0.8526,0.8615,0.8279
14,8,0.3802,0.8582,0.493,0.7573,0.9992,0.9627,0.9995,0.7825,0.5638,0.7982
14,9,0.3008,0.8916,0.9136,0.1905,0.9996,0.9528,1,0.4444,0.7993,0.8497
14,10,0.3456,0.8648,0.6122,0.7495,0.9899,0.9652,1,0.8791,0.2987,0.846
14,MEAN,0.3177,0.8803,0.6011,0.6747,0.9987,0.904,0.9996,0.6809,0.664,0.8144
15,1,0.9353,0.6869,0.3914,0.0588,0.9908,0.1599,0.9788,0.7335,0.2402,0.2703
15,2,1.3562,0.653,0.6808,0.0496,0.9832,0.7947,0.9605,0.5428,0.1455,0.2449
15,3,1.4586,0.649,0.015,0.0874,0.9886,0.4164,0.9606,0.5205,0.2341,0.266
15,4,1.807,0.5702,0.4009,0.1087,0.9919,0.7781,0.9965,0.0296,0.1771,0.2816
15,5,0.5034,0.8873,0.0364,0.1255,0.9877,0.8333,0.9815,0.7168,0.1754,0.3077
15,6,1.283,0.7079,0.2218,0.0784,0.9864,0.5985,0.991,0.2812,0.2135,0.2764
15,7,1.7091,0.4914,0.3482,0.0984,0.9808,0.5231,0.4889,0.657,0.2277,0.2584
15,8,1.5116,0.6195,0.1804,0.0773,0.9861,0.8097,0.988,0.5515,0.2273,0.2683
15,9,1.559,0.6164,0.4268,0,0.9879,0.7424,0.6018,0.2647,0.2282,0.283
15,10,1.2031,0.638,0.3257,0.0871,0.9583,0.8154,0.9869,0.7006,0,0.2417
15,MEAN,1.3326,0.652,0.3027,0.0771,0.9842,0.6472,0.8934,0.4998,0.1869,0.2698
16,1,0.1264,0.9736,0.8564,0.9173,0.9996,0.8846,0.9995,0.9818,0.9583,0.9685
16,2,0.1166,0.9626,0.9767,0.9083,1,0.967,1,0.9732,0.6923,0.9733
16,3,0.1138,0.9752,0.2105,0.9592,0.9995,0.9528,0.9996,0.9732,0.9461,0.9338
16,4,0.1146,0.9798,0.9794,0.9305,1,0.9615,0.9994,0.8103,0.7869,0.9864
16,5,0.0491,0.9874,0.3978,0.9713,0.9992,0.9672,0.9997,0.9811,0.1605,0.864
16,6,0.0959,0.9768,0.8901,0.9541,0.9995,0.9506,0.9996,0.9521,0.9183,0.9261
16,7,0.1757,0.9604,0.8794,0.9393,1,0.9695,1,0.9804,0.9521,0.9495
16,8,0.119,0.9657,0.8361,0.9557,0.9992,0.9647,0.9997,0.9736,0.4973,0.9131
16,9,0.1131,0.973,0.9775,0.0952,0.9996,0.9683,1,0.9839,0.876,0.9841
16,10,0.1179,0.967,0.8944,0.9513,0.9899,0.9686,1,0.983,0.3119,0.9422
16,MEAN,0.1142,0.9722,0.7898,0.8582,0.9987,0.9555,0.9998,0.9593,0.71,0.9441
17,1,0.3109,0.8906,0.5616,0.7568,0.9996,0.796,0.9997,0.8741,0.947,0.9068
17,2,0.2831,0.8962,0.9213,0.7429,1,0.9563,1,0.7615,0.6728,0.9025
17,3,0.3243,0.8795,0.0497,0.7786,0.9996,0.9195,0.9996,0.7478,0.9355,0.8959
17,4,0.2953,0.9112,0.9641,0.7708,1,0.9535,0.9999,0.0903,0.7775,0.923
17,5,0.1145,0.9558,0.1007,0.7692,0.9995,0.9607,0.9995,0.8637,0.1677,0.7966
17,6,0.2468,0.9101,0.7098,0.7682,0.9998,0.9378,0.9996,0.5187,0.9156,0.8814
17,7,0.4391,0.8426,0.6,0.7626,1,0.9435,1,0.8356,0.939,0.8997
17,8,0.3629,0.8516,0.4349,0.7651,0.9992,0.9556,0.9995,0.7623,0.5114,0.8728
17,9,0.2489,0.9258,0.9204,0.1481,0.9996,0.9584,0.9855,0.5513,0.8744,0.9126
17,10,0.3887,0.8416,0.5501,0.7502,0.98,0.961,0.9995,0.854,0.3062,0.8941
17,MEAN,0.3014,0.8905,0.5813,0.7013,0.9977,0.9342,0.9983,0.6859,0.7047,0.8885
18,1,1.2081,0.6472,0.3594,0,0.9971,0.1165,0.9811,0.6975,0.013,0.0308
18,2,2.014,0.5973,0.6138,0.0252,1,0.728,0.9645,0.5311,0.0148,0.0077
18,3,2.0143,0.623,0.0111,0.022,0.9967,0.3521,0.9807,0.522,0.0028,0.0267
18,4,2.7787,0.4971,0.3105,0.0346,1,0.6901,0.9968,0.0317,0,0.0209
